name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Hải sản Hoàng Gia CN Nguyễn Tri Phương,"235 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh 70000, Việt Nam","10.760183117206369, 106.66867875999509",Hải sản,1000000,Full meal,Vietnamese,650
Hải Sản Quý Thành,"303 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh 70000, Việt Nam","10.761597695614302, 106.66837502269141",Lẩu hải sản,800000,Full meal,Vietnamese,750
Bánh mì Brunchi,"37 Đ. Đào Duy Từ, Diên Hồng, Hồ Chí Minh 722200, Việt Nam","10.760523262487718, 106.66771144429075",Bánh mì,20000,Fast food,Vietnamese,430
CƠM GÀ Tam KỲ,"65 Đ. Đào Duy Từ, Diên Hồng, Hồ Chí Minh, Việt Nam","10.760466759577604, 106.66728516238895",Cơm gà,30000,Full meal,Vietnamese,650
Hủ Tiếu Mì Quảng Đông,"395/15 Hoà Hảo, Diên Hồng, Hồ Chí Minh, Việt Nam","10.7611856242875, 106.66739476987365",Hủ tiếu,45000,Fast food,Vietnamese,520
Wallace Nguyễn Tiểu La,"24 Nguyễn Tiểu La, Phường 8, Quận 10, Hồ Chí Minh 700000, Việt Nam","10.760418235848604, 106.66717827732087",Gà,50000,Fast food,Western,450
Ăn Vặt Khánh Ngọc,"52 Đ. Đào Duy Từ, Diên Hồng, Hồ Chí Minh 700925, Việt Nam","10.760567445313908, 106.6671972574385",Bánh ngọt,30000,Snack,Dessert,350
Cơm phần Hủ Tiếu Mì Nui 27k,"56 Đ. Đào Duy Từ, Diên Hồng, Hồ Chí Minh, Việt Nam","10.760555587608774, 106.66702693716203",Hủ tiếu,35000,Fast food,Vietnamese,520
"Sinh tố Hẻm, Đại học Kinh tế HCM","394 Hoà Hảo, Diên Hồng, Hồ Chí Minh, Việt Nam","10.760629444479093, 106.66748278550965",Sinh tố,10000,Drinks,Vietnamese,250
Bếp Cô Vân,"40 Đ. Đào Duy Từ, Diên Hồng, Hồ Chí Minh 70000, Việt Nam","10.76062494069831, 106.66734468337573",Cơm trưa,30000,Full meal,Vietnamese,700
Rau Má Mix - Nguyễn Tri Phương,"269 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh 70000, Việt Nam","10.760663755581799, 106.66855407306943",Nước rau má,12000,Healthy meal,Vietnamese,120
Sâm Bí Đao MIKI,"267 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh, Việt Nam","10.76058776545155, 106.66857400870147",Nước bí đao,15000,Healthy meal,Vietnamese,110
Trà Sữa Olong LaSiMi - Nguyễn Tri Phương,"253 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh 72406, Việt Nam","10.760312007292686, 106.66855965504071",Trà sữa,15000,Healthy meal,Vietnamese,450
Hồng Trà Sữa Ba Cô Gái Tam Hảo Nguyễn Tri Phương,"245 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh, Việt Nam","10.76017647833161, 106.66859155205961",Trà sữa,12000,Healthy meal,Vietnamese,450
Ốc Bay - Nguyễn Tri Phương,"236 Nguyễn Tri Phương, Diên Hồng, Hồ Chí Minh 70000, Việt Nam","10.760097354460155, 106.6686082979941",Ốc bay,150000,Desserts,Vietnamese,450
Ẩm Thực Ông Lý,"196 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 70000, Việt Nam","10.760598689258174, 106.66884823669906",Há cảo,45000,Fast food,Chinese,300
SushiWay Nguyễn Tri Phương,"192-194 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 700000, Việt Nam","10.760601803767567, 106.66890124568211",Sushi,120000,Full meal,Japanese,400
Hà Thành Quán,"210 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 700000, Việt Nam","10.761005245997493, 106.66877122268014",Bún phở,30000,Full meal,Vietnamese,460
Tiệm Trà Soli - SOLITEA Nguyễn Tri Phương,"206 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh 700000, Việt Nam","10.760975242155391, 106.66886746433427",Trà sữa,25000,Fast food,Vietnamese,450
Bếp Chảo nhà 56,53 Phan Đình Phùng,"10.79442, 106.68221",Bánh mì chảo,40000,Full meal,Vietnamese,650
Trà sữa Together,"200 Nguyễn Thượng Hiền, P. 5","10.80345, 106.68112",Trà sữa,35000,Drink,Vietnamese,450
 Bánh Mì nướng Muối Ớt,"50 Nguyễn Xuân Khoát, Tân Phú","10.79321, 106.63415",Bánh mì,35000,Full meal,Vietnamese,430
Bánh mì Gánh siêu dài ngon,"31 Tân Tiến, Tân Bình (6h-11h)","10.78784, 106.65152",Bánh mì,20000,Snack,Vietnamese,430
 Lẩu Mini ,577 Sư Vạn Hạnh Q10 - 191 Ni Sư Huỳnh Tân Bình,"10.77642, 106.66731",Lẩu,45000,Full meal,Vietnamese,800
Bánh bèo,"211/116 Hoàng Hoa Thám, Phú nhuận ","10.78351, 106.64324",Bánh bèo,30000,Full meal,Vietnamese,350
Bánh mì nướng ớt đỏ Thành Công,"50 Nguyễn Xuân Khoái, Tân Thành","10.79234, 106.66012",Bánh mì nướng,20000,Snack,Vietnamese,380
