name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Bún bò Ngọc Nhân,102 Ngô Thị Thu Minh,"10.79312, 106.66254",Bún bò,55000,Full meal,Vietnamese,480
Bánh mì nướng muối ớt Phúc Mập,"235 Nguyễn Thái Bình, Tân Bình","10.79921, 106.65213",Bánh mì nướng,30000,Snack,Vietnamese,380
Lẩu bò 150 (Không gian cafe đẹp),"150 Phan Xích Long, Phú nhuận","10.79612, 106.68541",Lẩu bò,200000,Full meal,Vietnamese,750
Mì Quảng Trộn Bắp Giò Cô Yến,"736/31 Cách Mạng Tháng 8, Phường 5, Quận Tân Bình, Phường 05, Quận Tân Bình, Hồ Chí Minh","10.78952, 106.66184",Mì quảng,35000,Full meal,Vietnamese,540
Bánh đúc hành phi,"100/14 Thích Quảng Đức, P5, Phú Nhuận","10.80312, 106.68352",Bánh đúc,35000,Snack,Vietnamese,330
 Bún xì dầu,"01 Quách văn tuấn, p.12, Tân Bình","10.80054, 106.65012",Bún xì dầu,40000,Snack,Vietnamese,420
"Bánh Mì Bì Thịt, Bánh Hỏi Nem Thịt Nướng","22 Trần Kế Xương, Phú Nhuận","10.79812, 106.68512",Bánh mì,35000,Snack,Vietnamese,430
Bánh mì 12k,"24 lương thế vinh, tân phú","10.77123, 106.63154",Bánh mì ,12000,Snack,Vietnamese,430
Bánh xèo giòn bình thuận ,"1 Huỳnh đình Hai, phú nhuận","10.80154, 106.69521",Bánh xèo,12000,Snack,Vietnamese,550
 Lẩu tôm hùm đại dương,"67 Lê Trung Nghĩa, Tân Bình","10.79982, 106.64951",Lẩu,140000,Full meal,Vietnamese,800
Bún thịt nướng sốt đậu miền Trung,"64 Hồng Hà, Phường 02, Quận Tân Bình, Hồ Chí Minh","10.81234, 106.66812",Bún thịt nướng,45000,Full meal,Vietnamese,500
Cơm tấm Nạc giòn,"33/16 Nguyễn Đình Chính,  Quận Phú Nhuận, T","10.79312, 106.67845",Cơm tấm,60000,Full meal,Vietnamese,650
Thịt xiên nướng - Cơm Lam,"48 Đồng Đen, P.12","10.79342, 106.64312",Thịt xiên nướng,20000,Full meal,Vietnamese,420
Bánh mì Xíu mại ngon,1A Hồ Văn Huê,"10.80123, 106.67541",Bánh mì,20000,Snack,Vietnamese,430
Miến măng vịt,181 Bùi Thị Xuân,"10.79354, 106.65821",Miến vịt,30000,Full meal,Vietnamese,520
Bánh canh Cá Lóc 25k,340 Nguyễn Sơn,"10.78852, 106.62143",Bánh canh,50000,Full meal,Vietnamese,500
Bánh canh Cá Lóc Quảng Trị O Hiền ngon 30k,12/20 Phạm Văn Hai,"10.79421, 106.66212",Bánh canh,25000,Full meal,Vietnamese,500
"Flan, Chè, Bánh bèo, Bột lọc Hoài Thương",10 Cô Giang,"10.79654, 106.68312",Ăn vặt,30000,Snack,Vietnamese,450
Cơm tấm Xí Muội - Nem nướng buôn mê,"1090 Lạc Long Quân, P.8, Tân Bình","10.78451, 106.65123",Cơm tấm,20000,Full meal,Vietnamese,650
Nướng Lẩu Zaka 79,"16 Trường Chính, P.4","10.79251, 106.65584",Nướng lẩu,35000,Full meal,Vietnamese,800
Gòn BÚN CHẢ bà Khách,3 Hậu Giang,"10.79723, 106.65812",Bún chả,100000,Full meal,Vietnamese,520
Aroy Thái,86 Hoa Cúc,"10.79542, 106.68815",Mì - Hủ tiếu thái,45000,Full meal,Thai,560
Bánh Canh Cua Oanh,"80 Văn Cao, P. Phú Thọ Hòa","10.78542, 106.63012",Bánh canh,45000,Full meal,Vietnamese,500
Bún riêu,1348 Trường Sa Tân Bình,"10.78842, 106.65982",Bún riêu,45000,Full meal,Vietnamese,490
Má heo Ngọc Yến,"51 đường số 10, Phường Linh Trung","10.79154, 106.67412",Má heo,45000,Full meal,Vietnamese,500
Mì Gà Xá Kén K3,"82 Đường Đồng Đen, P. 14","10.79282, 106.64251",Mì gà ,30000,Full meal,Vietnamese,600
Bánh Ướt & Bánh Cuốn,"752/53 Lạc Long Quân, P.9","10.78312, 106.64823",Bánh ướt/cuốn,30000,Full meal,Vietnamese,380
Cơm Tấm Bà Chị Hai,"51 Đặng Văn Ngữ , P. 14","10.79051, 106.67123",Cơm tấm,60000,Full meal,Vietnamese,650
Ốc Trứng Muối - Đường B6,"11 Đường B6, P. 12","10.80121, 106.64854",Ôc,40000,Full meal,Vietnamese,400
Quán Bánh Canh Chả Cá Phan Rang,"135 Đình Phong Phú, P. Tăng Nhơn Phú B","10.83852, 106.77912",Bánh canh chả cá,25000,Full meal,Vietnamese,520
Bò Kho Cây Thoại Ngọc Hầu,"644 Âu Cơ, P.10","10.78123, 106.64154",Bò Kho ,500000,Full meal,Vietnamese,550
